symbol,name,sector,source_etfs
ACLS,AXCELIS TECHNOLOGIES INC,Information Technology,IJR
AZZ,AZZ INC,Industrials,IJR
SKT,TANGER INC,Real Estate,IJR
PTEN,PATTERSON UTI ENERGY INC,Energy,IJR
SKY,CHAMPION HOMES INC,Consumer Discretionary,IJR
GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,IJR
ENVA,ENOVA INTERNATIONAL INC,Financials,IJR
APLS,APELLIS PHARMACEUTICALS INC,Health Care,IJR
MRCY,MERCURY SYSTEMS INC,Industrials,IJR
VSCO,VICTORIA S SECRET,Consumer Discretionary,IJR
WSC,WILLSCOT HOLDINGS CORP CLASS A,Industrials,IJR
SHAK,SHAKE SHACK INC CLASS A,Consumer Discretionary,IJR
FULT,FULTON FINANCIAL CORP,Financials,IJR
IRDM,IRIDIUM COMMUNICATIONS INC,Communication,IJR
DAN,DANA INCORPORATED INC,Consumer Discretionary,IJR
TDW,TIDEWATER INC,Energy,IJR
LRN,STRIDE INC,Consumer Discretionary,IJR
LTH,LIFE TIME GROUP HOLDINGS INC,Consumer Discretionary,IJR
BGC,BGC GROUP INC CLASS A,Financials,IJR
CC,CHEMOURS,Materials,IJR
HP,HELMERICH & PAYNE INC,Energy,IJR
MMSI,MERIT MEDICAL SYSTEMS INC,Health Care,IJR
POWI,POWER INTEGRATIONS INC,Information Technology,IJR
LAUR,LAUREATE EDUCATION INC,Consumer Discretionary,IJR
AMTM,AMENTUM HOLDINGS INC,Industrials,IJR
SFBS,SERVISFIRST BANCSHARES INC,Financials,IJR
CVSA,COVISTA INC,Consumer Discretionary,IJR
VIRT,VIRTU FINANCIAL INC CLASS A,Financials,IJR
PSMT,PRICESMART INC,Consumer Staples,IJR
TPH,TRI POINTE HOMES INC,Consumer Discretionary,IJR
ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Discretionary,IJR
UCB,UNITED COMMUNITY BANKS INC,Financials,IJR
